Date,Year,Month,Count,Population,Incidence_per_100k
2020/09/01 0:00,2020,September,6,112081264,0.005353
2020/10/01 0:00,2020,October,7,112081264,0.006245
2020/11/01 0:00,2020,November,2,112081264,0.001784
2020/12/01 0:00,2020,December,4,112081264,0.003569
2021/01/01 0:00,2021,January,6,113100950,0.005305
2021/02/01 0:00,2021,February,2,113100950,0.001768
2021/03/01 0:00,2021,March,2,113100950,0.001768
2021/04/01 0:00,2021,April,4,113100950,0.003537
2021/05/01 0:00,2021,May,4,113100950,0.003537
2021/06/01 0:00,2021,June,6,113100950,0.005305
2021/07/01 0:00,2021,July,10,113100950,0.008842
2021/08/01 0:00,2021,August,3,113100950,0.002652
2021/09/01 0:00,2021,September,5,113100950,0.004421
2021/10/01 0:00,2021,October,9,113100950,0.007957
2021/11/01 0:00,2021,November,7,113100950,0.006189
2021/12/01 0:00,2021,December,3,113100950,0.002652
2022/01/01 0:00,2022,January,0,113964338,0
2022/02/01 0:00,2022,February,4,113964338,0.00351
2022/03/01 0:00,2022,March,6,113964338,0.005265
2022/04/01 0:00,2022,April,12,113964338,0.01053
2022/05/01 0:00,2022,May,4,113964338,0.00351
2022/06/01 0:00,2022,June,8,113964338,0.00702
2022/07/01 0:00,2022,July,14,113964338,0.012285
2022/08/01 0:00,2022,August,9,113964338,0.007897
2022/09/01 0:00,2022,September,20,113964338,0.017549
2022/10/01 0:00,2022,October,4,113964338,0.00351
2022/11/01 0:00,2022,November,7,113964338,0.006142
2022/12/01 0:00,2022,December,1,113964338,0.000877
2023/01/01 0:00,2023,January,4,114891199,0.003482
2023/02/01 0:00,2023,February,2,114891199,0.001741
2023/03/01 0:00,2023,March,17,114891199,0.014797
2023/04/01 0:00,2023,April,4,114891199,0.003482
2023/05/01 0:00,2023,May,9,114891199,0.007833
2023/06/01 0:00,2023,June,6,114891199,0.005222
2023/07/01 0:00,2023,July,5,114891199,0.004352
2023/08/01 0:00,2023,August,3,114891199,0.002611
2023/09/01 0:00,2023,September,8,114891199,0.006963
2023/10/01 0:00,2023,October,10,114891199,0.008704
2023/11/01 0:00,2023,November,7,114891199,0.006093
2023/12/01 0:00,2023,December,5,114891199,0.004352
